,RecordingTime [ms],Time of Day [h:m:s:ms],Trial,Stimulus,Export Start Trial Time [ms],Export End Trial Time [ms],Participant,Color,P78 051019 1,Tracking Ratio [%],Category Group,Category Binocular,Index Binocular,Pupil Size Right X [px],Pupil Size Right Y [px],Pupil Diameter Right [mm],Pupil Size Left X [px],Pupil Size Left Y [px],Pupil Diameter Left [mm],Point of Regard Binocular X [px],Point of Regard Binocular Y [px],Point of Regard Right X [px],Point of Regard Right Y [px],Point of Regard Left X [px],Point of Regard Left Y [px],AOI Name Binocular,Gaze Vector Right X,Gaze Vector Right Y,Gaze Vector Right Z,Gaze Vector Left X,Gaze Vector Left Y,Gaze Vector Left Z,Video Time [h:m:s:ms],Eye Position Right X [mm],Eye Position Right Y [mm],Eye Position Right Z [mm],Eye Position Left X [mm],Eye Position Left Y [mm],Eye Position Left Z [mm],Pupil Position Right X [px],Pupil Position Right Y [px],Pupil Position Left X [px],Pupil Position Left Y [px],Annotation Name,Annotation Description,Annotation Tags,Mouse Position X [px],Mouse Position Y [px],Scroll Direction X,Scroll Direction Y,Content,Frame Number
0,3230770.22,15:17:50:997,Trial001,P78_051019_1-2-recording.avi,0.0,2949996.26,P78_051019_1 (1),CornflowerBlue,Calibration_1,96.9,Information,User Event,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Align #1,-1
1,3230786.23,15:17:50:317,Trial001,P78_051019_1-2-recording.avi,0.0,2949996.26,P78_051019_1 (1),CornflowerBlue,Calibration_1,96.9,Eye,Visual Intake,107,90.00,56.00,4.22,82.00,54.00,3.28,725.55,38.29,828.52,-11.71,710.98,328.08,-,-0.08,0.21,0.97,-0.09,0.16,0.98,00:01:00:785,-34.35,2.61,-23.57,24.88,1.42,-27.72,0.00,0.00,0.00,0.00,-,-,-,-,-,-,-,-,1459
2,3230802.88,15:17:50:334,Trial001,P78_051019_1-2-recording.avi,0.0,2949996.26,P78_051019_1 (1),CornflowerBlue,Calibration_1,96.9,Eye,Visual Intake,107,90.00,56.00,4.22,80.00,54.00,3.16,726.93,39.95,825.74,-11.12,718.74,324.97,-,-0.08,0.21,0.97,-0.09,0.16,0.98,00:01:00:785,-34.35,2.61,-23.57,24.88,1.42,-27.72,0.00,0.00,0.00,0.00,-,-,-,-,-,-,-,-,1459
3,3230819.64,15:17:50:351,Trial001,P78_051019_1-2-recording.avi,0.0,2949996.26,P78_051019_1 (1),CornflowerBlue,Calibration_1,96.9,Eye,Visual Intake,107,90.00,54.00,4.22,80.00,54.00,3.18,719.73,40.48,822.84,-9.04,706.91,324.73,-,-0.08,0.21,0.97,-0.08,0.16,0.98,00:01:00:785,-34.35,2.61,-23.57,24.88,1.42,-27.72,0.00,0.00,0.00,0.00,-,-,-,-,-,-,-,-,1459
4,3230836.15,15:17:50:367,Trial001,P78_051019_1-2-recording.avi,0.0,2949996.26,P78_051019_1 (1),CornflowerBlue,Calibration_1,96.9,Eye,Visual Intake,107,90.00,54.00,4.22,74.00,52.00,3.00,720.51,37.77,815.79,-10.43,715.09,322.19,-,-0.07,0.21,0.97,-0.09,0.16,0.98,00:01:00:826,-34.35,2.61,-23.57,24.88,1.42,-27.72,0.00,0.00,0.00,0.00,-,-,-,-,-,-,-,-,1460
5,3230852.89,15:17:50:384,Trial001,P78_051019_1-2-recording.avi,0.0,2949996.26,P78_051019_1 (1),CornflowerBlue,Calibration_1,96.9,Eye,Visual Intake,107,90.00,56.00,4.24,62.00,52.00,3.00,718.53,41.22,812.59,-10.79,714.69,327.80,-,-0.07,0.21,0.97,-0.09,0.16,0.98,00:01:00:826,-34.35,2.61,-23.57,24.88,1.42,-27.72,0.00,0.00,0.00,0.00,-,-,-,-,-,-,-,-,1460
6,3230869.44,15:17:50:400,Trial001,P78_051019_1-2-recording.avi,0.0,2949996.26,P78_051019_1 (1),CornflowerBlue,Calibration_1,96.9,Eye,Visual Intake,107,90.00,54.00,4.22,78.00,54.00,3.16,713.22,37.71,813.63,-13.34,702.27,324.96,-,-0.07,0.22,0.97,-0.08,0.16,0.98,00:01:00:868,-34.35,2.61,-23.57,24.88,1.42,-27.72,0.00,0.00,0.00,0.00,-,-,-,-,-,-,-,-,1461
7,3230886.12,15:17:50:417,Trial001,P78_051019_1-2-recording.avi,0.0,2949996.26,P78_051019_1 (1),CornflowerBlue,Calibration_1,96.9,Eye,Visual Intake,107,90.00,54.00,4.24,80.00,56.00,3.26,711.86,34.05,813.90,-15.70,696.85,326.67,-,-0.07,0.22,0.97,-0.08,0.16,0.98,00:01:00:868,-34.35,2.61,-23.57,24.88,1.42,-27.72,0.00,0.00,0.00,0.00,-,-,-,-,-,-,-,-,1461
8,3230902.81,15:17:50:434,Trial001,P78_051019_1-2-recording.avi,0.0,2949996.26,P78_051019_1 (1),CornflowerBlue,Calibration_1,96.9,Eye,Visual Intake,107,90.00,54.00,4.24,78.00,52.00,3.16,710.36,34.40,809.50,-14.21,700.03,321.24,-,-0.07,0.22,0.97,-0.08,0.16,0.98,00:01:00:868,-34.35,2.61,-23.57,24.88,1.42,-27.72,0.00,0.00,0.00,0.00,-,-,-,-,-,-,-,-,1461
9,3230919.38,15:17:50:450,Trial001,P78_051019_1-2-recording.avi,0.0,2949996.26,P78_051019_1 (1),CornflowerBlue,Calibration_1,96.9,Eye,Visual Intake,107,90.00,54.00,4.20,74.00,52.00,3.00,710.91,31.34,810.48,-17.62,699.74,319.36,-,-0.07,0.22,0.97,-0.08,0.17,0.98,00:01:00:910,-34.35,2.61,-23.57,24.88,1.42,-27.72,0.00,0.00,0.00,0.00,-,-,-,-,-,-,-,-,1462
